difficulty,question,optionA,optionB,optionC,optionD,correct_answer,prize
1,What is the capital city of France?,Paris,London,Berlin,Rome,A,100
1,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,100
1,What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,100
1,Which animal is known as the 'Ship of the Desert'?,Horse,Camel,Elephant,Llama,B,100
1,Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Van Gogh,Picasso,B,100
1,What is the currency of Japan?,Yen,Dollar,Euro,Pound,A,100
1,How many continents are there on Earth?,Five,Six,Seven,Four,C,100
1,Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B,100
1,Which gas do plants primarily take in for photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Helium,C,100
1,In which country would you find the Great Pyramid of Giza?,Peru,Mexico,Egypt,China,C,100
2,What is the capital of Italy?,Rome,Madrid,Athens,Berlin,A,200
2,Who discovered the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,B,200
2,What is the largest land animal?,Elephant,Hippopotamus,Rhinoceros,Giraffe,A,200
2,Which element has the chemical symbol 'O'?,Gold,Oxygen,Silver,Iron,B,200
2,The Great Wall of China is primarily located in which country?,India,China,Mongolia,Russia,B,200
2,Who is known as the 'Bard of Avon'?,Homer,Dante,William Shakespeare,Goethe,C,200
2,What organ pumps blood throughout the human body?,Lungs,Heart,Brain,Liver,B,200
2,Which country is home to the kangaroo?,India,Australia,Brazil,Kenya,B,200
2,Which musical instrument has 88 keys?,Guitar,Violin,Flute,Piano,D,200
2,What is H2O commonly known as?,Salt,Water,Ammonia,Alcohol,B,200
3,In which city is the Statue of Liberty located?,London,Paris,New York,Tokyo,C,300
3,Who formulated the laws of motion and gravity?,Isaac Newton,Albert Einstein,Stephen Hawking,Nikola Tesla,A,300
3,What is the smallest prime number?,0,1,2,3,C,300
3,Which is the longest river in the world?,Nile,Amazon,Mississippi,Yangtze,A,300
3,What is the boiling point of water at sea level in Celsius?,0,50,100,212,C,300
3,Who was the first President of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,B,300
3,Which planet is known for its rings?,Mercury,Venus,Earth,Saturn,D,300
3,What is the national language of Brazil?,Spanish,English,Portuguese,French,C,300
3,Who wrote 'The Origin of Species'?,Charles Darwin,Gregor Mendel,Marie Curie,Louis Pasteur,A,300
3,What is the capital of Canada?,Toronto,Ottawa,Montreal,Vancouver,B,300
4,In which continent is the Sahara Desert located?,Asia,South America,Africa,Europe,C,500
4,Who is known as the 'Father of Computer Science'?,Alan Turing,Charles Babbage,Tim Berners-Lee,Steve Jobs,A,500
4,What chemical element gives blood its red color?,Iron,Copper,Zinc,Magnesium,A,500
4,Which country gifted the Statue of Liberty to the United States?,United Kingdom,France,Spain,Italy,B,500
4,What is the largest bone in the human body?,Femur,Skull,Radius,Tibia,A,500
4,Who wrote 'Pride and Prejudice'?,Jane Austen,Emily Brontë,Charlotte Brontë,George Eliot,A,500
4,Which gas is most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,B,500
4,Which continent has the most countries?,Asia,Africa,Europe,South America,B,500
4,What is the capital of Argentina?,Santiago,Bogotá,Lima,Buenos Aires,D,500
4,What is the primary language spoken in Spain?,French,Spanish,Italian,Portuguese,B,500
5,What is the largest planet in our Solar System?,Earth,Mars,Saturn,Jupiter,D,1000
5,Who developed the polio vaccine?,Louis Pasteur,Jonas Salk,Alexander Fleming,Edward Jenner,B,1000
5,What is the hardest natural substance on Earth?,Iron,Granite,Diamond,Quartz,C,1000
5,Who discovered penicillin?,Alexander Fleming,Marie Curie,Gregor Mendel,Joseph Lister,A,1000
5,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C,1000
5,In which ocean is the Bermuda Triangle located?,Atlantic,Pacific,Indian,Arctic,A,1000
5,Who wrote 'War and Peace'?,Leo Tolstoy,Mark Twain,Fyodor Dostoevsky,Victor Hugo,A,1000
5,Which human organ is responsible for filtering blood?,Liver,Heart,Stomach,Kidneys,D,1000
5,How many strings does a standard violin have?,2,3,4,5,C,1000
5,What type of animal is a Komodo dragon?,Mammal,Bird,Reptile,Amphibian,C,1000
6,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Caravaggio,B,2000
6,Which country is the world's largest by land area?,Canada,Russia,China,United States,B,2000
6,What is the chemical symbol for Gold?,Au,Ag,Pt,Fe,A,2000
6,Who proposed the theory of evolution by natural selection?,Gregor Mendel,Charles Darwin,Alfred Wallace,Thomas Huxley,B,2000
6,Which city hosted the first modern Olympics in 1896?,Paris,Athens,London,Berlin,B,2000
6,What is the world's tallest waterfall?,Victoria Falls,Niagara Falls,Angel Falls,Iguazu Falls,C,2000
6,How many degrees are in a right angle?,45,90,180,270,B,2000
6,Which part of the human body contains the smallest bones?,Ear,Hand,Foot,Spine,A,2000
6,Who wrote 'The Divine Comedy'?,Dante Alighieri,Geoffrey Chaucer,John Milton,Homer,A,2000
6,The kiwi is a flightless bird native to which country?,Australia,New Zealand,South Africa,Chile,B,2000
7,What is the capital of Russia?,Moscow,St. Petersburg,Kazan,Sochi,A,4000
7,Who is credited with inventing the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,B,4000
7,How many days are in a leap year?,365,366,364,367,B,4000
7,What is the main gas found in the air we breathe?,Oxygen,Nitrogen,Carbon Dioxide,Argon,B,4000
7,Who wrote 'The Adventures of Tom Sawyer'?,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,A,4000
7,The Great Barrier Reef is located off the coast of which country?,Fiji,Australia,Indonesia,Philippines,B,4000
7,What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,A,4000
7,Who developed the first successful printing press in Europe?,Johannes Gutenberg,Benjamin Franklin,William Caxton,Martin Luther,A,4000
7,What is the smallest country in the world?,Monaco,Vatican City,Liechtenstein,San Marino,B,4000
7,Which gas do living creatures need to breathe in to survive?,Oxygen,Helium,Nitrogen,Carbon Dioxide,A,4000
8,Which sea creature has three hearts?,Shark,Octopus,Dolphin,Whale,B,8000
8,Who discovered gravity when he saw a falling apple (as per legend)?,Albert Einstein,Isaac Newton,Galileo Galilei,Aristotle,B,8000
8,What is the capital of South Korea?,Seoul,Tokyo,Beijing,Shanghai,A,8000
8,Which composer wrote 'Für Elise'?,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Bach,Franz Schubert,B,8000
8,What is the largest internal organ in the human body?,Heart,Liver,Lungs,Brain,B,8000
8,Who invented the World Wide Web?,Steve Jobs,Bill Gates,Tim Berners-Lee,Larry Page,C,8000
8,In which galaxy is our Solar System located?,Andromeda,Milky Way,Whirlpool,Sombrero,B,8000
8,Which mountain range separates Europe and Asia?,Andes,Himalayas,Ural,Alps,C,8000
8,The Taj Mahal is located in which Indian city?,Delhi,Mumbai,Agra,Jaipur,C,8000
8,Which metal is liquid at room temperature?,Iron,Gold,Silver,Mercury,D,8000
9,What is the largest fish in the ocean?,Great White Shark,Blue Whale,Whale Shark,Orca Whale,C,16000
9,Who is the Greek god of the sea?,Zeus,Hades,Poseidon,Ares,C,16000
9,Which continent is known as the 'Dark Continent' historically?,Asia,Africa,Europe,South America,B,16000
9,What does DNA stand for?,Double Nitrogen Acid,Deoxyribonucleic Acid,Deoxy Natural Acid,Di-Ribonucleic Acid,B,16000
9,What is the capital city of Kenya?,Nairobi,Kampala,Addis Ababa,Dar es Salaam,A,16000
9,Which gas is used in the largest amount for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Helium,B,16000
9,Who discovered America in 1492 (for Europeans)?,Christopher Columbus,Ferdinand Magellan,Marco Polo,Vasco da Gama,A,16000
9,Which layer of Earth lies below the crust?,Mantle,Outer Core,Inner Core,Magma Chamber,A,16000
9,In Roman mythology, who is the king of the gods?,Jupiter,Mars,Neptune,Saturn,A,16000
9,The Amazon rainforest is primarily located in which country?,Peru,Brazil,Colombia,Venezuela,B,16000
10,Which scientist is known for E=mc²?,Isaac Newton,Albert Einstein,Niels Bohr,Marie Curie,B,32000
10,What is the largest bird capable of flight?,Eagle,Albatross,Ostrich,Condor,B,32000
10,Which is the only continent covered by ice most of the year?,North America,Antarctica,Europe,Asia,B,32000
10,Who painted 'Starry Night'?,Vincent van Gogh,Pablo Picasso,Claude Monet,Salvador Dalí,A,32000
10,The Panama Canal connects which two oceans?,Atlantic & Indian,Indian & Pacific,Atlantic & Pacific,Pacific & Arctic,C,32000
10,Who is credited with inventing the light bulb?,Alexander Graham Bell,Nikola Tesla,Thomas Edison,Benjamin Franklin,C,32000
10,Which gas makes up most of Mars's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,C,32000
10,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,Kurt Vonnegut,A,32000
10,What is the hardest mineral on the Mohs scale?,Topaz,Corundum,Diamond,Quartz,C,32000
10,What is the largest reptile in the world?,Komodo Dragon,Nile Crocodile,Green Anaconda,Saltwater Crocodile,D,32000
11,Who was the first human to travel into space?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,John Glenn,A,64000
